,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
577,25680117000194,POSTO ARCO-IRIS,"AVENIDA LUIS TANURE,34",,CENTRO,MEDINA,MG,Diesel S10,3.8790,'28/03/2019
578,25865312000199,POSTOS SR,"AVENIDA COLUMBIA,540",,RIACHO DAS PEDRAS,CONTAGEM,MG,Gasolina C Comum,4.6770,'21/06/2018
579,25865312000199,POSTOS SR,"AVENIDA COLUMBIA,540",,RIACHO DAS PEDRAS,CONTAGEM,MG,Etanol,2.9980,'21/06/2018
580,25865312000199,POSTOS SR,"AVENIDA COLUMBIA,540",,RIACHO DAS PEDRAS,CONTAGEM,MG,Diesel S500,3.4390,'21/06/2018
581,25865312000199,POSTOS SR,"AVENIDA COLUMBIA,540",,RIACHO DAS PEDRAS,CONTAGEM,MG,Diesel S10,3.4990,'21/06/2018
582,26529830000285,AUTO POSTO VO CLOVIS LTDA,"RUA WALDEMAR RANGRAB,2050",,PEPERI,SAO MIGUEL DO OESTE,SC,Gasolina C Comum,4.3990,'25/09/2018
583,26529830000285,AUTO POSTO VO CLOVIS LTDA,"RUA WALDEMAR RANGRAB,2050",,PEPERI,SAO MIGUEL DO OESTE,SC,Diesel S500,3.3990,'25/09/2018
584,26529830000285,AUTO POSTO VO CLOVIS LTDA,"RUA WALDEMAR RANGRAB,2050",,PEPERI,SAO MIGUEL DO OESTE,SC,Diesel S10,3.4490,'25/09/2018
585,26529830000447,AUTO POSTO VO CLOVIS LTDA,"RUA BARAO DO RIO BRANCO,165",,CENTRO,BRUSQUE,SC,Gasolina C Comum,4.0900,'24/09/2018
586,26529830000447,AUTO POSTO VO CLOVIS LTDA,"RUA BARAO DO RIO BRANCO,165",,CENTRO,BRUSQUE,SC,Diesel S10,3.3900,'24/09/2018
587,26602128000119,POSTO NOVO CEU,"RODOVIA MT 320,S/N",KM 79,TREVO CANAA,NOVA CANAA DO NORTE,MT,Gasolina C Comum,4.8600,'11/04/2019
588,26602128000119,POSTO NOVO CEU,"RODOVIA MT 320,S/N",KM 79,TREVO CANAA,NOVA CANAA DO NORTE,MT,Etanol,3.0800,'23/04/2019
589,26602128000119,POSTO NOVO CEU,"RODOVIA MT 320,S/N",KM 79,TREVO CANAA,NOVA CANAA DO NORTE,MT,Diesel S500,4.0800,'26/02/2019
590,26602128000119,POSTO NOVO CEU,"RODOVIA MT 320,S/N",KM 79,TREVO CANAA,NOVA CANAA DO NORTE,MT,Diesel S10,4.1800,'26/02/2019
591,27336719000154,POSTO TOTAL,"RUA CONSELHEIRO PORTELA,210",,ESPINHEIRO,RECIFE,PE,Gasolina C Comum,4.3490,'29/11/2018
592,27336719000154,POSTO TOTAL,"RUA CONSELHEIRO PORTELA,210",,ESPINHEIRO,RECIFE,PE,Etanol,3.1990,'29/11/2018
593,27336719000154,POSTO TOTAL,"RUA CONSELHEIRO PORTELA,210",,ESPINHEIRO,RECIFE,PE,Diesel S10,3.7990,'29/11/2018
594,27444236000173,AUTO POSTO GAUCHINHO,"RUA MAJOR CARLOS DA SILVA,1131",,VILA JUQUITA,MARACAJU,MS,Gasolina C Comum,4.4690,'27/06/2018
595,27444236000173,AUTO POSTO GAUCHINHO,"RUA MAJOR CARLOS DA SILVA,1131",,VILA JUQUITA,MARACAJU,MS,Etanol,3.3990,'27/06/2018
