,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
685,70056510000166,POSTO GONZAGAO,"RODOVIA ASA BRANCA BR 122 KM 38,SN",,CENTRO,EXU,PE,Etanol,3.7790,'07/01/2019
686,70056510000166,POSTO GONZAGAO,"RODOVIA ASA BRANCA BR 122 KM 38,SN",,CENTRO,EXU,PE,Diesel S10,3.6090,'07/01/2019
687,72408842000198,ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA,"AVENIDA DOS DEMOCRATICOS,1400",,BONSUCESSO,RIO DE JANEIRO,RJ,Gasolina C Comum,5.0690,'22/04/2019
688,72408842000198,ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA,"AVENIDA DOS DEMOCRATICOS,1400",,BONSUCESSO,RIO DE JANEIRO,RJ,Etanol,4.3990,'22/04/2019
689,72408842000198,ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA,"AVENIDA DOS DEMOCRATICOS,1400",,BONSUCESSO,RIO DE JANEIRO,RJ,GNV,3.1490,'22/04/2019
690,72408842000198,ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA,"AVENIDA DOS DEMOCRATICOS,1400",,BONSUCESSO,RIO DE JANEIRO,RJ,Diesel S10,3.9590,'22/04/2019
691,75474288000135,COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA,"AVENIDA ADEMAR GHIZI,SN",,CENTRO,TREZE DE MAIO,SC,Gasolina C Comum,4.4790,'22/08/2018
692,75474288000135,COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA,"AVENIDA ADEMAR GHIZI,SN",,CENTRO,TREZE DE MAIO,SC,Etanol,3.9290,'22/08/2018
693,75474288000135,COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA,"AVENIDA ADEMAR GHIZI,SN",,CENTRO,TREZE DE MAIO,SC,Diesel S500,3.3290,'22/08/2018
694,80806904000148,POSTOS MAX,"AVENIDA MARINHEIRO MAX SCHRAMM,2586",,ESTREITO,FLORIANOPOLIS,SC,Gasolina C Comum,4.1990,'25/09/2018
695,80806904000148,POSTOS MAX,"AVENIDA MARINHEIRO MAX SCHRAMM,2586",,ESTREITO,FLORIANOPOLIS,SC,Diesel S10,3.4990,'25/09/2018
696,83392050000199,POSTO ZANDONA 12,"RUA DR PEDRO ZIMMERMANN,2600",,ITOUPAVA CENTRAL,BLUMENAU,SC,Gasolina C Comum,4.0970,'25/06/2018
697,83392050000199,POSTO ZANDONA 12,"RUA DR PEDRO ZIMMERMANN,2600",,ITOUPAVA CENTRAL,BLUMENAU,SC,Etanol,3.4970,'25/06/2018
698,83392050000199,POSTO ZANDONA 12,"RUA DR PEDRO ZIMMERMANN,2600",,ITOUPAVA CENTRAL,BLUMENAU,SC,GNV,2.1970,'25/06/2018
699,83392050000199,POSTO ZANDONA 12,"RUA DR PEDRO ZIMMERMANN,2600",,ITOUPAVA CENTRAL,BLUMENAU,SC,Diesel S500,3.4370,'25/06/2018
700,83392050000199,POSTO ZANDONA 12,"RUA DR PEDRO ZIMMERMANN,2600",,ITOUPAVA CENTRAL,BLUMENAU,SC,Diesel S10,3.5370,'25/06/2018
701,83607333000100,POSTO OURO VERDE LTDA,"RUA SANTA CATARINA,616",,CENTRO,OURO VERDE,SC,Gasolina C Comum,4.5800,'29/08/2018
